API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 20 21:41:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:00.0000 TDB
Step-size       : 20 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260720.p261016
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-20. PREDICTS-> 2026-OCT-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461133.888888889, A.D. 2026-Apr-03 09:20:00.0000, -6.732523276374137E+04, -8.066034878304214E+04, -4.486855088402962E+04, -7.897249536313079E-01, -1.885084944782004E+00, -1.032853290150698E+00,
2461133.902777778, A.D. 2026-Apr-03 09:40:00.0000, -6.826020162275975E+04, -8.290713700599650E+04, -4.609945802823747E+04, -7.687468965675021E-01, -1.859733748764222E+00, -1.018755054729185E+00,
2461133.916666667, A.D. 2026-Apr-03 10:00:00.0000, -6.917066237430467E+04, -8.512410672388814E+04, -4.731378595718722E+04, -7.488618884732189E-01, -1.835375173623303E+00, -1.005214322907452E+00,
2461133.930555556, A.D. 2026-Apr-03 10:20:00.0000, -7.005787059053368E+04, -8.731240644185920E+04, -4.851217954341434E+04, -7.299783129235943E-01, -1.811939374391672E+00, -9.921915715020109E-01,
2461133.944444444, A.D. 2026-Apr-03 10:40:00.0000, -7.092297827492416E+04, -8.947310505807278E+04, -4.969523862942519E+04, -7.120149071945704E-01, -1.789363363991421E+00, -9.796511853771733E-01,
2461133.958333333, A.D. 2026-Apr-03 11:00:00.0000, -7.176704538949765E+04, -9.160719956850253E+04, -5.086352241624423E+04, -6.948993113430948E-01, -1.767590161889413E+00, -9.675609689616584E-01,
2461133.972222222, A.D. 2026-Apr-03 11:20:00.0000, -7.259104979018407E+04, -9.371562182831793E+04, -5.201755331097764E+04, -6.785668574922175E-01, -1.746568069095186E+00, -9.558917307589352E-01,
2461133.986111111, A.D. 2026-Apr-03 11:40:00.0000, -7.339589583017050E+04, -9.579924450803432E+04, -5.315782031316181E+04, -6.629595538189930E-01, -1.726250047879151E+00, -9.446169282704115E-01,
2461134.000000000, A.D. 2026-Apr-03 12:00:00.0000, -7.418242184251879E+04, -9.785888635924947E+04, -5.428478200609365E+04, -6.480252273803344E-01, -1.706593188751337E+00, -9.337123631913032E-01,
2461134.013888889, A.D. 2026-Apr-03 12:20:00.0000, -7.495140667493458E+04, -9.989531688587964E+04, -5.539886920836486E+04, -6.337167973147917E-01, -1.687558250518465E+00, -9.231559186548259E-01,
