API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Jul 20 21:41:45 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:50:00.0000 TDB
Step-size       : 20 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260720.p261016
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUL-20. PREDICTS-> 2026-OCT-15
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461133.375000000, A.D. 2026-Apr-02 21:00:00.0000, -3.671803407378053E+05, -1.248309363330272E+05, -8.100258519505739E+04,  3.381242732202911E-01, -8.316792029620962E-01, -4.340193127641243E-01,
2461133.388888889, A.D. 2026-Apr-02 21:20:00.0000, -3.667728991584835E+05, -1.258283699220834E+05, -8.152302980918004E+04,  3.409443356682365E-01, -8.307088667129349E-01, -4.333877344807696E-01,
2461133.402777778, A.D. 2026-Apr-02 21:40:00.0000, -3.663620759926345E+05, -1.268246346268929E+05, -8.204271421637206E+04,  3.437602470361178E-01, -8.297310648520443E-01, -4.327523026002163E-01,
2461133.416666667, A.D. 2026-Apr-02 22:00:00.0000, -3.659478762349669E+05, -1.278197214970143E+05, -8.256163379731495E+04,  3.465719849810935E-01, -8.287458112077346E-01, -4.321130254563029E-01,
2461133.430555556, A.D. 2026-Apr-02 22:20:00.0000, -3.655303049069592E+05, -1.288136215986268E+05, -8.307978394270367E+04,  3.493795272300039E-01, -8.277531196531250E-01, -4.314699114042742E-01,
2461133.444444444, A.D. 2026-Apr-02 22:40:00.0000, -3.651093670567757E+05, -1.298063260145841E+05, -8.359716005327227E+04,  3.521828515794097E-01, -8.267530041058420E-01, -4.308229688206175E-01,
2461133.458333333, A.D. 2026-Apr-02 23:00:00.0000, -3.646850677591828E+05, -1.307978258444679E+05, -8.411375753981924E+04,  3.549819358956294E-01, -8.257454785277227E-01, -4.301722061029006E-01,
2461133.472222222, A.D. 2026-Apr-02 23:20:00.0000, -3.642574121154659E+05, -1.317881122046401E+05, -8.462957182323273E+04,  3.577767581147725E-01, -8.247305569245152E-01, -4.295176316696098E-01,
2461133.486111111, A.D. 2026-Apr-02 23:40:00.0000, -3.638264052533447E+05, -1.327771762282959E+05, -8.514459833451550E+04,  3.605672962427747E-01, -8.237082533455804E-01, -4.288592539599874E-01,
2461133.500000000, A.D. 2026-Apr-03 00:00:00.0000, -3.633920523268903E+05, -1.337650090655157E+05, -8.565883251480982E+04,  3.633535283554274E-01, -8.226785818835970E-01, -4.281970814338704E-01,
2461133.513888889, A.D. 2026-Apr-03 00:20:00.0000, -3.629543585164406E+05, -1.347516018833170E+05, -8.617226981542203E+04,  3.661354325984074E-01, -8.216415566742603E-01, -4.275311225715290E-01,
2461133.527777778, A.D. 2026-Apr-03 00:40:00.0000, -3.625133290285167E+05, -1.357369458657058E+05, -8.668490569784696E+04,  3.689129871873048E-01, -8.205971918959896E-01, -4.268613858735056E-01,
2461133.541666667, A.D. 2026-Apr-03 01:00:00.0000, -3.620689690957394E+05, -1.367210322137276E+05, -8.719673563379217E+04,  3.716861704076479E-01, -8.195455017696284E-01, -4.261878798604541E-01,
2461133.555555556, A.D. 2026-Apr-03 01:20:00.0000, -3.616212839767445E+05, -1.377038521455183E+05, -8.770775510520201E+04,  3.744549606149272E-01, -8.184865005581519E-01, -4.255106130729793E-01,
2461133.569444444, A.D. 2026-Apr-03 01:40:00.0000, -3.611702789560995E+05, -1.386853968963544E+05, -8.821795960428144E+04,  3.772193362346175E-01, -8.174202025663693E-01, -4.248295940714770E-01,
2461133.583333333, A.D. 2026-Apr-03 02:00:00.0000, -3.607159593442192E+05, -1.396656577187034E+05, -8.872734463351969E+04,  3.799792757621976E-01, -8.163466221406297E-01, -4.241448314359740E-01,
2461133.597222222, A.D. 2026-Apr-03 02:20:00.0000, -3.602583304772818E+05, -1.406446258822728E+05, -8.923590570571371E+04,  3.827347577631685E-01, -8.152657736685279E-01, -4.234563337659689E-01,
2461133.611111111, A.D. 2026-Apr-03 02:40:00.0000, -3.597973977171449E+05, -1.416222926740602E+05, -8.974363834399149E+04,  3.854857608730703E-01, -8.141776715786108E-01, -4.227641096802725E-01,
2461133.625000000, A.D. 2026-Apr-03 03:00:00.0000, -3.593331664512616E+05, -1.425986493984016E+05, -9.025053808183504E+04,  3.882322637974962E-01, -8.130823303400830E-01, -4.220681678168499E-01,
2461133.638888889, A.D. 2026-Apr-03 03:20:00.0000, -3.588656420925959E+05, -1.435736873770203E+05, -9.075660046310337E+04,  3.909742453121054E-01, -8.119797644625150E-01, -4.213685168326609E-01,
2461133.652777778, A.D. 2026-Apr-03 03:40:00.0000, -3.583948300795391E+05, -1.445473979490753E+05, -9.126182104205518E+04,  3.937116842626344E-01, -8.108699884955498E-01, -4.206651654035031E-01,
2461133.666666667, A.D. 2026-Apr-03 04:00:00.0000, -3.579207358758257E+05, -1.455197724712091E+05, -9.176619538337133E+04,  3.964445595649060E-01, -8.097530170286127E-01, -4.199581222238531E-01,
2461133.680555556, A.D. 2026-Apr-03 04:20:00.0000, -3.574433649704492E+05, -1.464908023175950E+05, -9.226971906217719E+04,  3.991728502048360E-01, -8.086288646906181E-01, -4.192473960067101E-01,
2461133.694444444, A.D. 2026-Apr-03 04:40:00.0000, -3.569627228775776E+05, -1.474604788799849E+05, -9.277238766406474E+04,  4.018965352384400E-01, -8.074975461496801E-01, -4.185329954834378E-01,
2461133.708333333, A.D. 2026-Apr-03 05:00:00.0000, -3.564788151364700E+05, -1.484287935677554E+05, -9.327419678511457E+04,  4.046155937918365E-01, -8.063590761128220E-01, -4.178149294036091E-01,
2461133.722222222, A.D. 2026-Apr-03 05:20:00.0000, -3.559916473113917E+05, -1.493957378079550E+05, -9.377514203191760E+04,  4.073300050612484E-01, -8.052134693256862E-01, -4.170932065348485E-01,
2461133.736111111, A.D. 2026-Apr-03 05:40:00.0000, -3.555012249915309E+05, -1.503613030453500E+05, -9.427521902159661E+04,  4.100397483130048E-01, -8.040607405722459E-01, -4.163678356626775E-01,
2461133.750000000, A.D. 2026-Apr-03 06:00:00.0000, -3.550075537909139E+05, -1.513254807424702E+05, -9.477442338182773E+04,  4.127448028835374E-01, -8.029009046745167E-01, -4.156388255903581E-01,
2461133.763888889, A.D. 2026-Apr-03 06:20:00.0000, -3.545106393483212E+05, -1.522882623796545E+05, -9.527275075086151E+04,  4.154451481793793E-01, -8.017339764922677E-01, -4.149061851387381E-01,
2461133.777777778, A.D. 2026-Apr-03 06:40:00.0000, -3.540104873272036E+05, -1.532496394550962E+05, -9.577019677754406E+04,  4.181407636771587E-01, -8.005599709227363E-01, -4.141699231460964E-01,
2461133.791666667, A.D. 2026-Apr-03 07:00:00.0000, -3.535071034155976E+05, -1.542096034848875E+05, -9.626675712133774E+04,  4.208316289235925E-01, -7.993789029003391E-01, -4.134300484679889E-01,
2461133.805555556, A.D. 2026-Apr-03 07:20:00.0000, -3.530004933260417E+05, -1.551681460030639E+05, -9.676242745234190E+04,  4.235177235354777E-01, -7.981907873963875E-01, -4.126865699770939E-01,
2461133.819444444, A.D. 2026-Apr-03 07:40:00.0000, -3.524906627954924E+05, -1.561252585616488E+05, -9.725720345131330E+04,  4.261990271996813E-01, -7.969956394188029E-01, -4.119394965630598E-01,
2461133.833333333, A.D. 2026-Apr-03 08:00:00.0000, -3.519776175852397E+05, -1.570809327306968E+05, -9.775108080968635E+04,  4.288755196731283E-01, -7.957934740118301E-01, -4.111888371323509E-01,
2461133.847222222, A.D. 2026-Apr-03 08:20:00.0000, -3.514613634808233E+05, -1.580351600983371E+05, -9.824405522959327E+04,  4.315471807827880E-01, -7.945843062557549E-01, -4.104346006080951E-01,
2461133.861111111, A.D. 2026-Apr-03 08:40:00.0000, -3.509419062919487E+05, -1.589879322708169E+05, -9.873612242388399E+04,  4.342139904256589E-01, -7.933681512666204E-01, -4.096767959299322E-01,
2461133.875000000, A.D. 2026-Apr-03 09:00:00.0000, -3.504192518524026E+05, -1.599392408725439E+05, -9.922727811614574E+04,  4.368759285687513E-01, -7.921450241959433E-01, -4.089154320538612E-01,
2461133.888888889, A.D. 2026-Apr-03 09:20:00.0000, -3.498934060199697E+05, -1.608890775461288E+05, -9.971751804072276E+04,  4.395329752490684E-01, -7.909149402304338E-01, -4.081505179520898E-01,
2461133.902777778, A.D. 2026-Apr-03 09:40:00.0000, -3.493643746763481E+05, -1.618374339524272E+05, -1.002068379427356E+05,  4.421851105735861E-01, -7.896779145917121E-01, -4.073820626128829E-01,
2461133.916666667, A.D. 2026-Apr-03 10:00:00.0000, -3.488321637270655E+05, -1.627843017705817E+05, -1.006952335781002E+05,  4.448323147192310E-01, -7.884339625360298E-01, -4.066100750404124E-01,
2461133.930555556, A.D. 2026-Apr-03 10:20:00.0000, -3.482967791013957E+05, -1.637296726980627E+05, -1.011827007135470E+05,  4.474745679328561E-01, -7.871830993539884E-01, -4.058345642546070E-01,
2461133.944444444, A.D. 2026-Apr-03 10:40:00.0000, -3.477582267522738E+05, -1.646735384507101E+05, -1.016692351266399E+05,  4.501118505312159E-01, -7.859253403702613E-01, -4.050555392910027E-01,
2461133.958333333, A.D. 2026-Apr-03 11:00:00.0000, -3.472165126562131E+05, -1.656158907627736E+05, -1.021548326057945E+05,  4.527441429009385E-01, -7.846607009433144E-01, -4.042730092005938E-01,
2461133.972222222, A.D. 2026-Apr-03 11:20:00.0000, -3.466716428132213E+05, -1.665567213869531E+05, -1.026394889502969E+05,  4.553714254984977E-01, -7.833891964651289E-01, -4.034869830496838E-01,
2461133.986111111, A.D. 2026-Apr-03 11:40:00.0000, -3.461236232467160E+05, -1.674960220944390E+05, -1.031231999703219E+05,  4.579936788501822E-01, -7.821108423609250E-01, -4.026974699197382E-01,
2461134.000000000, A.D. 2026-Apr-03 12:00:00.0000, -3.455724600034417E+05, -1.684337846749518E+05, -1.036059614869511E+05,  4.606108835520628E-01, -7.808256540888837E-01, -4.019044789072356E-01,
2461134.013888889, A.D. 2026-Apr-03 12:20:00.0000, -3.450181591533856E+05, -1.693700009367812E+05, -1.040877693321906E+05,  4.632230202699598E-01, -7.795336471398739E-01, -4.011080191235210E-01,
2461134.027777778, A.D. 2026-Apr-03 12:40:00.0000, -3.444607267896942E+05, -1.703046627068256E+05, -1.045686193489893E+05,  4.658300697394070E-01, -7.782348370371758E-01, -4.003080996946589E-01,
2461134.041666667, A.D. 2026-Apr-03 13:00:00.0000, -3.439001690285893E+05, -1.712377618306306E+05, -1.050485073912558E+05,  4.684320127656154E-01, -7.769292393362072E-01, -3.995047297612874E-01,
2461134.055555556, A.D. 2026-Apr-03 13:20:00.0000, -3.433364920092850E+05, -1.721692901724276E+05, -1.055274293238764E+05,  4.710288302234331E-01, -7.756168696242516E-01, -3.986979184784719E-01,
2461134.069444444, A.D. 2026-Apr-03 13:40:00.0000, -3.427697018939035E+05, -1.730992396151716E+05, -1.060053810227319E+05,  4.736205030573076E-01, -7.742977435201851E-01, -3.978876750155599E-01,
2461134.083333333, A.D. 2026-Apr-03 14:00:00.0000, -3.421998048673923E+05, -1.740276020605789E+05, -1.064823583747149E+05,  4.762070122812419E-01, -7.729718766742043E-01, -3.970740085560366E-01,
2461134.097222222, A.D. 2026-Apr-03 14:20:00.0000, -3.416268071374401E+05, -1.749543694291650E+05, -1.069583572777465E+05,  4.787883389787523E-01, -7.716392847675567E-01, -3.962569282973800E-01,
2461134.111111111, A.D. 2026-Apr-03 14:40:00.0000, -3.410507149343936E+05, -1.758795336602812E+05, -1.074333736407933E+05,  4.813644643028229E-01, -7.702999835122708E-01, -3.954364434509174E-01,
2461134.125000000, A.D. 2026-Apr-03 15:00:00.0000, -3.404715345111746E+05, -1.768030867121516E+05, -1.079074033838835E+05,  4.839353694758598E-01, -7.689539886508856E-01, -3.946125632416820E-01,
2461134.138888889, A.D. 2026-Apr-03 15:20:00.0000, -3.398892721431961E+05, -1.777250205619096E+05, -1.083804424381235E+05,  4.865010357896425E-01, -7.676013159561843E-01, -3.937852969082703E-01,
2461134.152777778, A.D. 2026-Apr-03 15:40:00.0000, -3.393039341282796E+05, -1.786453272056338E+05, -1.088524867457143E+05,  4.890614446052748E-01, -7.662419812309259E-01, -3.929546537026996E-01,
2461134.166666667, A.D. 2026-Apr-03 16:00:00.0000, -3.387155267865715E+05, -1.795639986583842E+05, -1.093235322599671E+05,  4.916165773531332E-01, -7.648760003075787E-01, -3.921206428902665E-01,
2461134.180555556, A.D. 2026-Apr-03 16:20:00.0000, -3.381240564604604E+05, -1.804810269542371E+05, -1.097935749453194E+05,  4.941664155328146E-01, -7.635033890480555E-01, -3.912832737494052E-01,
2461134.194444444, A.D. 2026-Apr-03 16:40:00.0000, -3.375295295144935E+05, -1.813964041463211E+05, -1.102626107773507E+05,  4.967109407130821E-01, -7.621241633434477E-01, -3.904425555715476E-01,
